EMDStationID_Current,CollDate,FishSampID,Lat_Dec_USGS,Long_Dec_USGS
01-XD3,2015-07-16,769,43.503496,-71.910193
01-XD3,2015-07-30,770,43.503496,-71.910193
02R-JWT,2016-08-15,792,43.531742,-71.463325
02R-JWT,2020-08-25,1022,43.531742,-71.463325
02R-JWT,2024-07-30,1197,43.531742,-71.463325
04-WIM,2009-07-07,661,43.559497,-71.869015
04-WIM,2009-09-01,662,43.559497,-71.869015
01-HMP,2016-07-06,816,43.575664,-71.979565
01-HMP,2016-07-18,817,43.575664,-71.979565
01-STW,2023-09-18,1130,43.60752528,-72.316665
01-STW,2024-09-03,1178,43.60752528,-72.316665
01T-MKB,2017-08-17,897,43.69188,-72.27074
01T-MKB,2021-08-19,1032,43.69188,-72.27074
08-INR,2009-06-24,663,43.696172,-71.98133
08-INR,2009-08-12,664,43.696172,-71.98133
01-UHB,2010-06-29,684,43.755425,-71.668149
01-UHB,2010-08-16,685,43.755425,-71.668149
02-GNB,2015-09-22,773,43.807535,-72.163561
02-GNB,2019-09-19,994,43.807535,-72.163561
02-GNB,2023-08-18,1203,43.807535,-72.163561
01T-GNB,2015-09-22,777,43.807952,-72.165495
01T-GNB,2019-09-11,993,43.807952,-72.165495
01T-GNB,2023-08-18,1204,43.807952,-72.165495
06-SBR,2016-08-25,784,43.818757,-71.930494
06-SBR,2020-08-27,1021,43.818757,-71.930494
06-SBR,2024-08-06,1193,43.818757,-71.930494
02-CHO,2019-07-09,995,43.81879,-71.19524
02-CHO,2019-07-22,996,43.81879,-71.19524
02-CHO,2014-06-12,736,43.8187930513,-71.1952393094
02-CHO,2014-07-15,737,43.8187930513,-71.1952393094
05R-BKR,2019-07-16,999,43.83947,-71.89917
05R-BKR,2019-07-31,1000,43.83947,-71.89917
00E-PGS,2016-09-07,809,43.896393,-71.293472
00E-PGS,2021-07-22,1042,43.896393,-71.293472
04-HGH,2019-07-11,1007,43.91904738,-71.53722396
04-HGH,2023-07-27,1089,43.91904738,-71.53722396
04-HGH,2024-06-18,1144,43.91904738,-71.53722396
03-SNW,2010-07-28,671,43.950318,-71.500649
03-SNW,2010-08-18,672,43.950318,-71.500649
10-WAM,2014-07-02,724,44.105663,-71.876246
10-WAM,2020-09-10,1025,44.105663,-71.876246
08-WAM,2005-08-04,603,44.1218,-71.93184
08-WAM,2014-08-07,740,44.1218,-71.93184
06-EBS,2015-09-16,774,44.121906,-71.130312
06-EBS,2019-08-01,991,44.121906,-71.130312
06-EBS,2023-07-24,1205,44.121906,-71.130312
13-HAM,2016-06-16,811,44.147258,-71.792272
13-HAM,2016-06-27,812,44.147258,-71.792272
02-SLI,2013-09-25,713,44.1621,-71.0939
02-SLI,2023-07-26,1088,44.1621,-71.0939
07-ELL,2016-09-07,808,44.202083,-71.237903
07-ELL,2021-07-15,1041,44.202083,-71.237903
22-AMM,2016-08-16,793,44.27163,-71.63163
22-AMM,2021-08-17,1039,44.27163,-71.63163
22-AMM,2024-09-12,1196,44.27163,-71.63163
02-RTT,2019-06-25,1001,44.40314923,-71.11012364
02-RTT,2024-07-18,1138,44.40314923,-71.11012364
02-RTT,2024-08-05,1139,44.40314923,-71.11012364
01-CUB,2006-08-22,616,44.40461,-71.73102
01-CUB,2016-07-11,794,44.40461,-71.73102
14-ISR,2006-08-15,623,44.41191,-71.49783
14-ISR,2014-06-30,722,44.41191,-71.49783
14-ISR,2018-09-19,934,44.41191,-71.49783
14-ISR,2022-10-06,1049,44.41191,-71.49783
00L-OTT,2005-08-02,605,44.481117,-71.541219
00L-OTT,2016-07-20,795,44.481117,-71.541219
04-SBB,2017-09-18,899,44.683612,-71.53481
04-SBB,2021-08-11,1037,44.683612,-71.53481
05-NWL,2002-07-24,48,44.686831,-71.226359
05-NWL,2016-08-26,782,44.686831,-71.226359
05-NWL,2019-09-25,1011,44.686831,-71.226359
01-CNB,2004-08-03,305,44.813132,-71.571901
01-CNB,2019-08-21,946,44.813132,-71.571901
05-SMS,2017-09-25,900,44.868168,-71.503934
05-SMS,2021-08-11,1038,44.868168,-71.503934
