EMDStationID_Current,CollDate,FishSampID,Lat_Dec_USGS,Long_Dec_USGS,Keep,,,,,,
06-SBR,8/27/2020,1021,43.818757,-71.930494,keep,,,,,,
06-SBR,8/6/2024,1193,43.818757,-71.930494,,,,,,,
02-CHO,7/9/2019,995,43.81879,-71.19524,,,,,,,
02-CHO,7/22/2019,996,43.81879,-71.19524,keep,,,,,,
02-CHO,6/12/2014,736,43.81879305,-71.19523931,,,,,,,
02-CHO,7/15/2014,737,43.81879305,-71.19523931,,,,,,,
05R-BKR,7/16/2019,999,43.83947,-71.89917,,,,,,,
05R-BKR,7/31/2019,1000,43.83947,-71.89917,keep,,,,,,
00E-PGS,9/7/2016,809,43.896393,-71.293472,,,,,,,
00E-PGS,7/22/2021,1042,43.896393,-71.293472,keep,,,,,,
04-HGH,7/11/2019,1007,43.91904738,-71.53722396,,,,,,,
04-HGH,7/27/2023,1089,43.91904738,-71.53722396,,,,,,,
04-HGH,6/18/2024,1144,43.91904738,-71.53722396,keep,,,,,,
03-SNW,7/28/2010,671,43.950318,-71.500649,,,,,,,
03-SNW,8/18/2010,672,43.950318,-71.500649,keep,,,,,,
10-WAM,7/2/2014,724,44.105663,-71.876246,,,,,,,
10-WAM,9/10/2020,1025,44.105663,-71.876246,keep,,,,,,
08-WAM,8/4/2005,603,44.1218,-71.93184,,,,,,,
08-WAM,8/7/2014,740,44.1218,-71.93184,keep,,,,,,
06-EBS,9/16/2015,774,44.121906,-71.130312,,,,,,,
06-EBS,8/1/2019,991,44.121906,-71.130312,,,,,,,
06-EBS,7/24/2023,1205,44.121906,-71.130312,keep,,,,,,
13-HAM,6/16/2016,811,44.147258,-71.792272,,,,,,,
13-HAM,6/27/2016,812,44.147258,-71.792272,keep,,,,,,
02-SLI,9/25/2013,713,44.1621,-71.0939,,,,,,,
02-SLI,7/26/2023,1088,44.1621,-71.0939,keep,,,,,,
07-ELL,9/7/2016,808,44.202083,-71.237903,,,,,,,
07-ELL,7/15/2021,1041,44.202083,-71.237903,keep,,,,,,
22-AMM,8/16/2016,793,44.27163,-71.63163,,,,,,,
22-AMM,8/17/2021,1039,44.27163,-71.63163,,,,,,,
22-AMM,9/12/2024,1196,44.27163,-71.63163,keep,,,,,,
02-RTT,6/25/2019,1001,44.40314923,-71.11012364,,,,,,,
02-RTT,7/18/2024,1138,44.40314923,-71.11012364,,,,,,,
02-RTT,8/5/2024,1139,44.40314923,-71.11012364,keep,,,,,,
01-CUB,8/22/2006,616,44.40461,-71.73102,,,,,,,
01-CUB,7/11/2016,794,44.40461,-71.73102,keep,,,,,,
14-ISR,8/15/2006,623,44.41191,-71.49783,,,,,,,
14-ISR,6/30/2014,722,44.41191,-71.49783,,,,,,,
14-ISR,9/19/2018,934,44.41191,-71.49783,,,,,,,
14-ISR,10/6/2022,1049,44.41191,-71.49783,keep,,,,,,
00L-OTT,8/2/2005,605,44.481117,-71.541219,,,,,,,
00L-OTT,7/20/2016,795,44.481117,-71.541219,keep,,,,,,
04-SBB,9/18/2017,899,44.683612,-71.53481,,,,,,,
04-SBB,8/11/2021,1037,44.683612,-71.53481,keep,,,,,,
05-NWL,7/24/2002,48,44.686831,-71.226359,,,,,,,
05-NWL,8/26/2016,782,44.686831,-71.226359,,,,,,,
05-NWL,9/25/2019,1011,44.686831,-71.226359,keep,,,,,,
01-CNB,8/3/2004,305,44.813132,-71.571901,,,,,,,
01-CNB,8/21/2019,946,44.813132,-71.571901,keep,,,,,,
05-SMS,9/25/2017,900,44.868168,-71.503934,keep,,,,,,
05-SMS,8/11/2021,1038,44.868168,-71.503934,,,,,,,
