Unique_ID,latitude,longitude,watershed_area,cw_ind,ABL,AE,ATS,BBH,BC,BDK,BDS,BG,BND,BNM,BNS,BRB,BS,BT,CC,CCS,CLM,CS,CWS,ECP,FD,FF,FHM,GF,GS,GSF,LC,LMB,LND,LNS,MMG,MMT,MS,NP,NRD,NSS,PKS,RB,RBS,RFP,RSD,RT,SD,SL,SMB,STK,STS,TD,WP,YBH,YP
01-NCB_6_13_2016,43.115559,-71.237412,4.030254380836842,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,52,98,0,0,36,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
01-NEG_9_5_2024,42.8359,-71.4737,8.982868724125357,1,0,2,0,0,0,0,0,4,5,0,0,0,0,1,0,0,0,5,26,0,0,71,0,0,5,0,0,5,2,0,0,60,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,28,0
01-NIS_7_28_2016,42.7052,-71.621,48.21395962773698,2,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,6,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,5,0
01-PEN_8_6_2015,42.793503,-71.470755,26.77218490966981,0,0,1,0,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,12,0,0,44,0,0,6,0,0,0,0,0,0,56,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,3,0,5,6
01-PSE_10_26_2023,43.142774,-71.334367,3.639041247582072,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-RND_6_30_2005,42.956759,-71.78401,10.100886098042336,5,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-SBRN_10_4_2023,43.903174,-71.311946,2.127571912649179,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-SEC_9_20_2022,42.753562,-71.427914,4.906406908350777,0,0,1,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,90,42,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
01-SMN_8_11_2017,42.749592,-71.457133,30.64238603351247,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,93,5,2,0,149,0,0,0,0,0,5,0,0,0,13,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,8,0
01-SMO_9_22_2023,44.74734,-71.16727,3.149363541554446,51,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
